LP,Plot,TypPp,NrPp,Rok,Okres,Actea_spicata,Poa_nemoralis,Chrysosplenium_alternifolium,Galeopsis_pubescens,Mycelis_muralis,Scrophularia_nodosa,Sanicula_europaea,Pteridium_aquilinum,Dryopteris_filix_mas,Lathyrus_vernus,Dryopteris_expansa,Lamium_maculatum,Anemone_nemorosa,Dryopteris_dilatata,Circaea_lutetiana,Veronica_montana,Dryopteris_carthusiana,Pulmonaria_obscura,Aegopodium_podagraria,Rubus_idaeus,Stachys_sylvatica,Gymnocarpium_dryopteris,Viola_reichenbachiana,Urtica_dioica,Geranium_robertianum,Maianthemum_bifolium,Rubus_hirtus,Athyrium_filix_femina,Galium_odoratum,Impatiens_noli_tangere,Circaea_alpina,Galeobdolon_luteum,Oxalis_acetosella,RowSum
241,5,W,22,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,50,69
241,5A,W,22,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,10,0,0,5,0,0,4,30,70
153,5A,I,14,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,5,10,13,20,17,71
329,5,W,30,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,17,40,71
615,5,W,56,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,35,25,71
703,5A,W,64,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,10,1,12,71
714,5A,I,65,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,8,0,3,35,15,71
758,5,I,69,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,60,71
318,5A,I,29,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,8,0,8,0,4,12,20,73
692,5,W,63,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,70,74
703,5,W,64,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,70,74
87,5,I,8,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,15,55,76
219,5A,I,20,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,25,15,5,25,77
340,5,W,31,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,55,77
417,5,W,38,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,55,77
659,5,W,60,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,45,25,77
637,5A,I,58,21,L,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,15,10,20,17,79
65,5A,W,6,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25,1,4,0,0,0,23,0,4,1,20,80
175,5,I,16,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,35,0,0,1,0,0,20,20,80
560,5A,I,51,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,0,15,15,27,80
